episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
10000,22558,6.9,0.914158,0.457079,0.489127,,0.89793,1.013216
20000,43644,16.6,0.626506,0.313253,0.337486,0.366511,1.212035,1.029011
30000,65029,26.9,0.5351,0.26755,0.344348,0.259259,1.158687,1.046523
40000,86941,36.5,0.476116,0.238058,0.335673,0.292404,1.300572,1.063535
50000,109508,47.2,0.409978,0.204989,0.362123,0.316932,0.874095,1.167354
60000,132555,59.4,0.383302,0.191651,0.435825,0.259316,1.183622,0.899339
70000,156011,70.1,0.357264,0.178632,0.442277,0.241668,0.936615,0.962736
80000,179650,81.8,0.343812,0.171906,0.54792,0.240224,1.05426,0.682095
90000,203435,93.2,0.32905,0.164525,0.463966,0.178707,1.046624,0.789125
100000,227395,105.1,0.310084,0.155042,0.369978,0.185403,0.927851,0.502009
110000,251447,117.4,0.308331,0.154166,0.416834,0.21933,0.974321,0.836895
120000,275670,129.3,0.306431,0.153216,0.419734,0.175549,0.78114,0.991616
130000,299809,142.6,0.309365,0.154683,0.36861,0.302795,0.838957,1.073878
140000,324033,156.5,0.310298,0.155149,0.392322,0.164197,0.896787,0.497648
150000,348000,169.5,0.307602,0.153801,0.39385,0.206166,0.79577,0.681173
160000,372104,181.6,0.307374,0.153687,0.323274,0.175457,0.799364,0.80278
170000,396092,193.9,0.302039,0.15102,0.473884,0.268001,0.618248,0.473114
180000,420451,206.4,0.293504,0.146752,0.436574,0.349583,0.765315,0.541937
190000,444990,218.2,0.283136,0.141568,0.373904,0.224646,0.55344,0.751878
200000,469676,230.4,0.275959,0.13798,0.442502,0.27438,0.557959,0.713191
210000,494508,242.9,0.273591,0.136796,0.402786,0.237917,0.587891,0.614844
220000,519272,254.9,0.268325,0.134163,0.356989,0.292647,0.585307,0.755863
230000,544107,267.5,0.266216,0.133108,0.527997,0.279625,0.928415,0.458228
240000,569081,279.1,0.261476,0.130738,0.463235,0.247689,0.631011,0.815497
250000,594067,291.0,0.25889,0.129445,0.444167,0.206093,0.375266,0.457263
260000,619104,303.0,0.259061,0.129531,0.496924,0.277813,0.646381,0.390273
270000,644247,314.9,0.255446,0.127723,0.469661,0.246927,0.598738,0.66582
280000,669363,328.5,0.254466,0.127233,0.524163,0.212367,0.519645,0.68716
290000,694436,344.4,0.250944,0.125472,0.510999,0.238307,0.436648,0.671874
300000,719688,364.0,0.251345,0.125672,0.533637,0.297344,0.778311,0.48149
310000,744843,383.4,0.250541,0.125271,0.445192,0.252565,0.430651,0.555285
320000,769832,396.1,0.246486,0.123243,0.467235,0.298624,0.434394,0.69902
330000,794901,408.9,0.244017,0.122009,0.400961,0.269745,0.407098,0.360972
340000,819831,420.7,0.242315,0.121157,0.564662,0.319619,0.408753,0.913484
350000,844660,432.4,0.23938,0.11969,0.465456,0.354474,0.370074,0.798292
360000,869514,445.1,0.239542,0.119771,0.389556,0.371809,0.584698,0.601465
