episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
10000,22720,7.6,0.764262,0.382131,0.549758,,1.002002,1.007894
20000,44625,17.8,0.517972,0.258986,0.414145,0.397093,1.139863,0.704762
30000,66524,28.4,0.459802,0.229901,0.30883,0.287334,0.853684,1.020255
40000,88290,38.2,0.43596,0.21798,0.376319,0.230906,1.054346,0.715396
50000,110721,49.4,0.372592,0.186296,0.436473,0.297595,0.715628,0.951474
60000,133746,60.9,0.348094,0.174047,0.494557,0.218167,0.849378,1.144649
70000,157225,72.0,0.346774,0.173387,0.431058,0.18163,0.732153,0.603236
80000,180861,83.2,0.356004,0.178002,0.529855,0.256525,0.864471,0.708397
90000,204665,94.1,0.349151,0.174575,0.480151,0.258409,0.785576,1.004458
100000,228766,106.1,0.325957,0.162979,0.389766,0.123791,0.881767,0.644109
110000,252837,118.6,0.310901,0.15545,0.402861,0.262261,0.835079,0.925175
120000,276886,130.7,0.297099,0.148549,0.443041,0.263334,0.717694,0.736751
130000,300995,144.9,0.293423,0.146711,0.442008,0.351596,0.707265,0.915592
140000,325079,157.9,0.295516,0.147758,0.384768,0.243796,0.548116,0.876095
150000,349159,170.7,0.291122,0.145561,0.357115,0.314751,0.790046,0.473101
160000,373551,182.8,0.2882,0.1441,0.366834,0.261218,0.786908,0.733809
170000,398065,195.6,0.281731,0.140866,0.4732,0.342441,0.725799,0.747647
180000,422700,208.1,0.274869,0.137435,0.438734,0.284719,0.800615,0.489715
190000,447428,220.2,0.277238,0.138619,0.42774,0.296508,0.808154,0.736984
200000,472198,232.8,0.278838,0.139419,0.517362,0.277921,0.779051,0.558068
210000,496964,245.0,0.278932,0.139466,0.530487,0.37964,0.564527,0.569294
220000,521849,258.1,0.274638,0.137319,0.48272,0.316023,0.483729,0.468081
230000,546870,270.8,0.2696,0.1348,0.439821,0.399652,0.652731,0.84687
240000,571954,283.1,0.266282,0.133141,0.456021,0.315755,0.448188,0.565041
250000,597083,295.5,0.264006,0.132003,0.488673,0.366083,0.518905,0.390136
260000,622230,307.4,0.263057,0.131528,0.469113,0.207279,0.738867,0.595636
270000,647496,319.6,0.259317,0.129658,0.482343,0.242751,0.517673,0.318367
280000,672653,334.2,0.25794,0.12897,0.563139,0.279574,0.497468,0.613444
290000,697791,353.2,0.252924,0.126462,0.463101,0.311443,0.357037,0.339615
300000,722855,372.3,0.25188,0.12594,0.473675,0.265249,0.415369,0.597184
310000,747863,388.5,0.250814,0.125407,0.479644,0.355827,0.496364,0.666301
320000,772756,401.1,0.241361,0.12068,0.49163,0.267027,0.465712,0.63197
330000,797684,413.3,0.23603,0.118015,0.488976,0.41399,0.391888,0.689807
340000,822572,425.0,0.230345,0.115173,0.415728,0.272799,0.439617,0.544249
350000,847293,436.6,0.222009,0.111004,0.438555,0.311361,0.356738,0.52434
