episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
780000,1930202,562.4,0.174581,0.087291,0.507971,0.425331,0.467624,0.908666
790000,1955304,569.8,0.169627,0.084814,0.362045,0.370237,0.260876,0.641921
800000,1980346,577.3,0.166791,0.083395,0.410572,0.419994,0.696727,0.691208
810000,2005388,584.8,0.158559,0.07928,0.367442,0.401267,0.411204,0.735851
820000,2030437,592.5,0.156838,0.078419,0.434668,0.328104,0.535445,0.825028
830000,2055383,600.0,0.154681,0.07734,0.404555,0.456223,0.412801,0.663805
840000,2080352,607.6,0.1576,0.0788,0.329515,0.417614,0.755519,0.881635
850000,2105268,615.2,0.146481,0.07324,0.371121,0.411666,0.606935,0.744137
860000,2130113,622.9,0.150232,0.075116,0.297917,0.364884,0.458896,0.581436
870000,2154917,630.4,0.148784,0.074392,0.297554,0.472891,0.510244,0.700394
880000,2179752,638.1,0.149681,0.074841,0.368064,0.331571,0.480638,0.719011
890000,2204659,645.6,0.143757,0.071879,0.358827,0.378531,0.635978,0.668863
900000,2229529,653.6,0.143183,0.071592,0.374767,0.416864,0.651096,0.688142
910000,2254349,661.4,0.134194,0.067097,0.403345,0.377308,0.591652,0.825282
920000,2279020,669.3,0.142592,0.071296,0.355666,0.395991,0.662401,0.696819
930000,2303753,677.4,0.126947,0.063474,0.29485,0.420019,0.532921,0.747977
940000,2328286,685.7,0.121938,0.060969,0.317253,0.362468,0.47747,0.374889
950000,2352778,693.8,0.128762,0.064381,0.383893,0.354608,0.743931,0.755227
960000,2377226,701.9,0.12966,0.06483,0.402528,0.405649,0.51737,0.420807
970000,2401760,710.3,0.129593,0.064796,0.31382,0.364086,0.524784,0.729784
980000,2426225,719.1,0.138676,0.069338,0.449544,0.363905,0.549869,0.642827
990000,2450558,727.7,0.126626,0.063313,0.371383,0.368599,0.848667,0.583772
1000000,2474942,736.5,0.13172,0.06586,0.40262,0.336549,0.696056,0.558727
1010000,2499228,745.5,0.126898,0.063449,0.469085,0.423941,0.796632,0.657702
1020000,2523544,754.6,0.133211,0.066606,0.407631,0.398911,0.814489,0.734044
1030000,2547998,764.1,0.132556,0.066278,0.390909,0.289293,0.737378,0.924565
1040000,2572403,773.3,0.142334,0.071167,0.438135,0.379176,0.725959,0.675021
1050000,2596720,782.8,0.129051,0.064525,0.360569,0.411318,0.6475,0.705148
1060000,2621051,792.1,0.133993,0.066997,0.410049,0.40352,0.413279,0.629133
1070000,2645440,800.8,0.134162,0.067081,0.330235,0.353066,0.856035,0.542154
1080000,2669793,809.3,0.134957,0.067479,0.456605,0.399918,0.710971,0.704262
1090000,2694084,818.0,0.134681,0.067341,0.327289,0.409481,0.673637,0.648688
1100000,2718350,826.7,0.140593,0.070297,0.380335,0.318421,0.623873,0.726322
1110000,2742698,835.2,0.136745,0.068372,0.409941,0.435791,0.592081,0.697878
1120000,2767078,844.0,0.122811,0.061406,0.42036,0.437596,0.590852,0.604014
1130000,2791372,852.4,0.124854,0.062427,0.289221,0.384831,0.566999,0.562279
1140000,2815668,861.0,0.12329,0.061645,0.442852,0.444771,0.559626,0.514072
1150000,2840080,869.5,0.123758,0.061879,0.302738,0.363066,0.781754,0.767386
1160000,2864376,877.9,0.121922,0.060961,0.427746,0.390749,0.405137,0.832988
1170000,2888676,886.1,0.118866,0.059433,0.345065,0.327577,0.617993,0.66109
1180000,2912933,894.8,0.123352,0.061676,0.407765,0.389498,0.78185,0.774001
1190000,2937215,903.4,0.119185,0.059592,0.444305,0.401788,0.549262,0.718396
1200000,2961262,911.9,0.115836,0.057918,0.343731,0.387349,0.632324,0.726367
1210000,2985536,920.5,0.11488,0.05744,0.386048,0.385389,0.39565,0.758173
