episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
10000,22529,6.6,0.72956,0.36478,0.432126,0.615754,0.972107,1.01854
20000,44154,16.6,0.535547,0.267773,0.322998,0.36162,1.045313,0.939545
30000,65640,27.2,0.459395,0.229697,0.303575,0.234438,1.113091,1.111603
40000,86940,36.7,0.437386,0.218693,0.271357,0.199343,0.948892,1.112722
50000,108826,47.2,0.405237,0.202618,0.459761,0.247789,1.25412,0.689481
60000,131499,58.9,0.349615,0.174807,0.537157,0.212062,0.9272,1.044092
70000,154419,69.4,0.312723,0.156362,0.50323,0.118612,0.798481,0.813237
80000,177699,81.0,0.297033,0.148517,0.506055,0.152199,1.038544,1.107407
90000,200989,92.2,0.29281,0.146405,0.521589,0.229164,0.674403,0.955567
100000,224514,103.4,0.29586,0.14793,0.425817,0.201471,0.791849,1.080599
110000,248131,115.1,0.298479,0.14924,0.543255,0.202441,0.618923,0.798102
120000,271800,127.3,0.297449,0.148725,0.461087,0.177278,0.883048,1.105825
130000,295561,140.0,0.28665,0.143325,0.377765,0.152698,0.750766,0.962534
140000,319382,153.9,0.275243,0.137621,0.447785,0.216315,0.759341,0.96258
150000,343352,167.0,0.264756,0.132378,0.457919,0.128891,0.677739,0.913618
160000,367454,179.5,0.261026,0.130513,0.414879,0.153132,0.797981,0.763899
170000,391460,191.6,0.270004,0.135002,0.412034,0.219637,0.681007,0.863677
180000,415505,203.9,0.281289,0.140644,0.346742,0.214496,0.52866,0.780546
190000,439493,215.7,0.29038,0.14519,0.389075,0.247523,0.459649,0.579965
200000,463511,227.8,0.298042,0.149021,0.387941,0.214167,0.597348,0.937517
210000,487696,240.0,0.300104,0.150052,0.429827,0.223955,0.651674,0.576559
220000,511865,251.8,0.304393,0.152197,0.417282,0.24241,0.624301,1.000055
230000,536179,264.8,0.308061,0.154031,0.454488,0.211767,0.466726,0.81433
240000,560428,277.0,0.314135,0.157067,0.413951,0.295115,0.75891,0.552936
250000,584707,289.5,0.318324,0.159162,0.319243,0.250159,0.543867,0.91336
260000,609092,301.6,0.322587,0.161294,0.443055,0.234217,0.353791,0.601097
270000,633686,313.5,0.323261,0.161631,0.270874,0.257763,0.496362,0.395418
280000,658371,326.7,0.324248,0.162124,0.280854,0.270767,0.496398,0.409515
290000,683195,342.7,0.324072,0.162036,0.401328,0.298871,0.315636,0.385681
300000,708183,362.8,0.319728,0.159864,0.429373,0.283119,0.395178,0.552078
310000,733396,381.2,0.316638,0.158319,0.333659,0.288814,0.365772,0.366252
320000,758729,394.9,0.311291,0.155646,0.452197,0.282895,0.416991,0.242358
330000,784259,407.6,0.307877,0.153938,0.426296,0.279952,0.324931,0.645741
340000,809773,419.8,0.307048,0.153524,0.414151,0.292421,0.368932,0.776504
350000,835471,431.9,0.314693,0.157347,0.357497,0.290131,0.399532,0.42917
360000,861024,444.5,0.317806,0.158903,0.49106,0.338944,0.370808,0.28581
370000,886751,458.4,0.326304,0.163152,0.425041,0.26711,0.566874,0.374002
380000,912383,471.3,0.331862,0.165931,0.400046,0.310641,0.437628,0.809968
390000,938176,485.4,0.329404,0.164702,0.420184,0.352669,0.349565,0.659835
400000,963929,499.7,0.330185,0.165093,0.39899,0.3081,0.432991,0.471475
410000,989524,514.4,0.325524,0.162762,0.353191,0.391844,0.34847,0.584639
420000,1015214,529.6,0.323132,0.161566,0.434701,0.397213,0.416232,0.661684
430000,1040720,545.4,0.328515,0.164258,0.347115,0.384696,0.443831,0.421662
440000,1066406,560.9,0.314833,0.157416,0.581719,0.395239,0.376435,0.794374
450000,1092192,576.0,0.313424,0.156712,0.471755,0.380346,0.380415,0.631843
460000,1117960,596.0,0.295483,0.147742,0.45138,0.421785,0.302813,0.661907
470000,1143786,612.8,0.289095,0.144548,0.487162,0.371726,0.431988,0.551861
480000,1169586,626.9,0.286206,0.143103,0.353088,0.4244,0.327789,1.041912
490000,1195409,642.0,0.263865,0.131932,0.396873,0.404502,0.35209,0.992717
500000,1221225,656.4,0.267095,0.133547,0.380372,0.411714,0.513353,0.909629
510000,1247034,671.2,0.264011,0.132005,0.382246,0.371148,0.220447,0.699454
520000,1272798,684.6,0.25973,0.129865,0.548953,0.408431,0.408272,0.723308
530000,1298507,698.6,0.257482,0.128741,0.443899,0.364224,0.483023,0.678622
540000,1324242,711.8,0.252393,0.126196,0.351386,0.373815,0.463419,0.818126
550000,1349924,726.7,0.248316,0.124158,0.379968,0.412815,0.620577,0.894275
560000,1375729,740.8,0.242854,0.121427,0.413529,0.387737,0.655793,0.76655
570000,1401494,753.9,0.23482,0.11741,0.409122,0.432023,0.496186,0.883384
580000,1427331,766.6,0.234866,0.117433,0.391425,0.385331,0.33794,0.968024
590000,1453187,779.2,0.237491,0.118746,0.359665,0.389487,0.45629,0.890501
600000,1479017,791.4,0.246013,0.123007,0.492293,0.433928,0.387558,0.653333
610000,1504788,803.9,0.251293,0.125647,0.351576,0.387084,0.560705,0.968334
620000,1530594,816.0,0.246938,0.123469,0.484539,0.385879,0.609686,0.731588
630000,1556333,828.1,0.250758,0.125379,0.367348,0.436339,0.5359,1.074996
640000,1582000,839.5,0.244196,0.122098,0.442445,0.416503,0.589424,0.880241
650000,1607576,851.5,0.235058,0.117529,0.327936,0.402803,0.486509,0.73451
660000,1633162,862.9,0.243242,0.121621,0.372593,0.399116,0.334685,0.616686
670000,1658669,874.9,0.237037,0.118519,0.403832,0.385878,0.588834,0.694777
680000,1684140,887.0,0.228518,0.114259,0.439005,0.350008,0.539181,0.674978
