detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D1,mix,0.1,128,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0508
D1,mix,0.2,128,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0508
D1,anti,,128,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0508
D2,imitate,0.05,128,100,3000,0.4998,0.4744,0.5251,0.0,0.0,0.0038,1000,0.0503
D2,imitate,0.1,128,100,3000,0.4875,0.4622,0.5128,0.198,0.1745,0.2238,1000,0.0503
D2,imitate,0.2,128,100,3000,0.4835,0.4582,0.5088,0.0,0.0,0.0038,1000,0.0503
D2,mix,0.05,128,100,3000,0.9998,0.9992,1.0,0.422,0.3917,0.4529,1000,0.0503
D2,mix,0.1,128,100,3000,1.0,0.9996,1.0,1.0,0.9962,1.0,1000,0.0503
D2,mix,0.2,128,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,anti,,128,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D1,imitate,0.05,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,imitate,0.1,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,imitate,0.2,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,mix,0.05,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,mix,0.1,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,mix,0.2,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,anti,,128,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D2,imitate,0.05,128,100,10000,0.4966,0.4713,0.5219,0.0,0.0,0.0038,1000,0.05
D2,imitate,0.1,128,100,10000,0.4804,0.4551,0.5057,0.2,0.1764,0.2259,1000,0.05
D2,imitate,0.2,128,100,10000,0.5361,0.5109,0.5613,0.0,0.0,0.0038,1000,0.05
