detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D2,mix,0.05,8,100,30,0.614,0.5895,0.6385,0.121,0.1022,0.1427,1000,0.0602
D2,mix,0.1,8,100,30,0.6236,0.5993,0.648,0.214,0.1897,0.2405,1000,0.0602
D2,mix,0.2,8,100,30,0.8786,0.8633,0.894,0.379,0.3494,0.4095,1000,0.0602
D2,anti,,8,100,30,0.9679,0.9602,0.9756,0.865,0.8424,0.8848,1000,0.0602
D1,imitate,0.05,8,100,100,0.5417,0.5215,0.562,0.063,0.0495,0.0798,1000,0.0527
D1,imitate,0.1,8,100,100,0.6618,0.6418,0.6817,0.177,0.1546,0.2019,1000,0.0527
D1,imitate,0.2,8,100,100,0.9998,0.9993,1.0,1.0,0.9962,1.0,1000,0.0527
D1,mix,0.05,8,100,100,0.5899,0.5696,0.6103,0.103,0.0857,0.1234,1000,0.0527
D1,mix,0.1,8,100,100,0.6871,0.6675,0.7068,0.184,0.1612,0.2092,1000,0.0527
D1,mix,0.2,8,100,100,0.8631,0.8482,0.8781,0.481,0.4502,0.512,1000,0.0527
D1,anti,,8,100,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0527
D2,imitate,0.05,8,100,100,0.5,0.4747,0.5253,0.042,0.0312,0.0563,1000,0.042
D2,imitate,0.1,8,100,100,0.4684,0.4432,0.4936,0.039,0.0287,0.0529,1000,0.042
D2,imitate,0.2,8,100,100,0.6253,0.601,0.6497,0.03,0.0211,0.0425,1000,0.042
D2,mix,0.05,8,100,100,0.6047,0.5801,0.6293,0.115,0.0967,0.1363,1000,0.042
D2,mix,0.1,8,100,100,0.6969,0.674,0.7197,0.242,0.2165,0.2695,1000,0.042
D2,mix,0.2,8,100,100,0.9631,0.9547,0.9716,0.654,0.624,0.6828,1000,0.042
D2,anti,,8,100,100,0.9971,0.9947,0.9994,0.986,0.9766,0.9916,1000,0.042
D1,imitate,0.05,8,100,300,0.5512,0.5309,0.5715,0.097,0.0802,0.1169,1000,0.0442
D1,imitate,0.1,8,100,300,0.8205,0.8039,0.8372,0.399,0.3691,0.4297,1000,0.0442
D1,imitate,0.2,8,100,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0442
D1,mix,0.05,8,100,300,0.6001,0.5798,0.6204,0.113,0.0948,0.1341,1000,0.0442
D1,mix,0.1,8,100,300,0.7321,0.7132,0.751,0.278,0.2511,0.3066,1000,0.0442
D1,mix,0.2,8,100,300,0.963,0.9547,0.9712,0.82,0.795,0.8426,1000,0.0442
D1,anti,,8,100,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0442
D2,imitate,0.05,8,100,300,0.4684,0.4431,0.4936,0.049,0.0373,0.0642,1000,0.0432
D2,imitate,0.1,8,100,300,0.5004,0.4751,0.5258,0.048,0.0364,0.0631,1000,0.0432
D2,imitate,0.2,8,100,300,0.765,0.7442,0.7857,0.021,0.0138,0.0319,1000,0.0432
D2,mix,0.05,8,100,300,0.6542,0.6304,0.678,0.16,0.1386,0.184,1000,0.0432
D2,mix,0.1,8,100,300,0.8364,0.8187,0.8541,0.385,0.3553,0.4155,1000,0.0432
D2,mix,0.2,8,100,300,0.9994,0.9983,1.0,0.962,0.9483,0.9722,1000,0.0432
D2,anti,,8,100,300,1.0,0.9997,1.0,1.0,0.9962,1.0,1000,0.0432
D1,imitate,0.05,8,100,1000,0.6534,0.6334,0.6734,0.179,0.1565,0.204,1000,0.0505
D1,imitate,0.1,8,100,1000,0.9772,0.9707,0.9838,0.898,0.8777,0.9153,1000,0.0505
D1,imitate,0.2,8,100,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0505
D1,mix,0.05,8,100,1000,0.6496,0.6296,0.6697,0.153,0.132,0.1766,1000,0.0505
D1,mix,0.1,8,100,1000,0.8949,0.8815,0.9083,0.646,0.6159,0.675,1000,0.0505
D1,mix,0.2,8,100,1000,0.9993,0.9981,1.0,0.996,0.9898,0.9984,1000,0.0505
D1,anti,,8,100,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0505
D2,imitate,0.05,8,100,1000,0.4772,0.4519,0.5025,0.023,0.0154,0.0343,1000,0.052
D2,imitate,0.1,8,100,1000,0.5238,0.4985,0.5491,0.062,0.0487,0.0787,1000,0.052
D2,imitate,0.2,8,100,1000,0.9413,0.9306,0.952,0.009,0.0047,0.017,1000,0.052
D2,mix,0.05,8,100,1000,0.6978,0.6749,0.7206,0.227,0.2021,0.254,1000,0.052
D2,mix,0.1,8,100,1000,0.8927,0.8782,0.9071,0.591,0.5602,0.6211,1000,0.052
D2,mix,0.2,8,100,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.052
D2,anti,,8,100,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.052
D1,imitate,0.05,8,100,3000,0.8358,0.8197,0.8518,0.473,0.4422,0.504,1000,0.0503
D1,imitate,0.1,8,100,3000,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0503
D1,imitate,0.2,8,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D1,mix,0.05,8,100,3000,0.8204,0.8038,0.837,0.468,0.4373,0.499,1000,0.0503
D1,mix,0.1,8,100,3000,0.9922,0.9883,0.996,0.96,0.946,0.9705,1000,0.0503
D1,mix,0.2,8,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D1,anti,,8,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,imitate,0.05,8,100,3000,0.473,0.4477,0.4983,0.008,0.0041,0.0157,1000,0.0512
D2,imitate,0.1,8,100,3000,0.5254,0.5002,0.5507,0.087,0.0711,0.1061,1000,0.0512
D2,imitate,0.2,8,100,3000,0.9949,0.9918,0.9981,0.001,0.0002,0.0056,1000,0.0512
D2,mix,0.05,8,100,3000,0.733,0.7111,0.7548,0.318,0.2899,0.3475,1000,0.0512
D2,mix,0.1,8,100,3000,0.8899,0.8753,0.9046,0.672,0.6423,0.7004,1000,0.0512
D2,mix,0.2,8,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D2,anti,,8,100,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D1,imitate,0.05,8,100,10000,0.9448,0.9348,0.9548,0.822,0.7971,0.8445,1000,0.0515
D1,imitate,0.1,8,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0515
D1,imitate,0.2,8,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0515
D1,mix,0.05,8,100,10000,0.9351,0.9244,0.9459,0.814,0.7887,0.8369,1000,0.0515
D1,mix,0.1,8,100,10000,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0515
D1,mix,0.2,8,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0515
D1,anti,,8,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0515
D2,imitate,0.05,8,100,10000,0.4856,0.4603,0.5109,0.0,0.0,0.0038,1000,0.0503
D2,imitate,0.1,8,100,10000,0.4995,0.4742,0.5248,0.172,0.1499,0.1966,1000,0.0503
D2,imitate,0.2,8,100,10000,1.0,0.9999,1.0,0.0,0.0,0.0038,1000,0.0503
D2,mix,0.05,8,100,10000,0.7465,0.7251,0.7679,0.397,0.3671,0.4277,1000,0.0503
D2,mix,0.1,8,100,10000,0.8829,0.8678,0.898,0.84,0.816,0.8614,1000,0.0503
D2,mix,0.2,8,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,anti,,8,100,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D1,imitate,0.05,8,1000,30,0.5164,0.4963,0.5366,0.059,0.046,0.0754,1000,0.0553
D1,imitate,0.1,8,1000,30,0.6382,0.618,0.6583,0.149,0.1283,0.1724,1000,0.0553
D1,imitate,0.2,8,1000,30,0.9743,0.9674,0.9813,0.895,0.8745,0.9125,1000,0.0553
D1,mix,0.05,8,1000,30,0.5838,0.5635,0.6041,0.088,0.072,0.1072,1000,0.0553
D1,mix,0.1,8,1000,30,0.6711,0.6513,0.6909,0.162,0.1405,0.1861,1000,0.0553
D1,mix,0.2,8,1000,30,0.7915,0.774,0.809,0.318,0.2899,0.3475,1000,0.0553
D1,anti,,8,1000,30,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0553
D2,imitate,0.05,8,1000,30,0.4938,0.4685,0.5192,0.043,0.0321,0.0574,1000,0.0508
D2,imitate,0.1,8,1000,30,0.4813,0.456,0.5066,0.077,0.062,0.0952,1000,0.0508
D2,imitate,0.2,8,1000,30,0.4854,0.4601,0.5107,0.022,0.0146,0.0331,1000,0.0508
D2,mix,0.05,8,1000,30,0.5972,0.5724,0.6219,0.122,0.1031,0.1437,1000,0.0508
D2,mix,0.1,8,1000,30,0.671,0.6475,0.6944,0.26,0.2338,0.2881,1000,0.0508
D2,mix,0.2,8,1000,30,0.8874,0.8725,0.9022,0.444,0.4135,0.475,1000,0.0508
D2,anti,,8,1000,30,0.9923,0.9885,0.9961,0.96,0.946,0.9705,1000,0.0508
D1,imitate,0.05,8,1000,100,0.5712,0.5509,0.5915,0.107,0.0893,0.1277,1000,0.0585
D1,imitate,0.1,8,1000,100,0.7734,0.7553,0.7914,0.322,0.2938,0.3516,1000,0.0585
D1,imitate,0.2,8,1000,100,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0585
D1,mix,0.05,8,1000,100,0.6685,0.6487,0.6884,0.177,0.1546,0.2019,1000,0.0585
D1,mix,0.1,8,1000,100,0.8071,0.79,0.8242,0.377,0.3475,0.4075,1000,0.0585
D1,mix,0.2,8,1000,100,0.9515,0.9421,0.9609,0.774,0.7471,0.7988,1000,0.0585
D1,anti,,8,1000,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D2,imitate,0.05,8,1000,100,0.5077,0.4824,0.533,0.071,0.0567,0.0886,1000,0.0527
D2,imitate,0.1,8,1000,100,0.4999,0.4746,0.5252,0.076,0.0611,0.0941,1000,0.0527
D2,imitate,0.2,8,1000,100,0.4842,0.4589,0.5095,0.042,0.0312,0.0563,1000,0.0527
D2,mix,0.05,8,1000,100,0.6476,0.6237,0.6716,0.165,0.1433,0.1893,1000,0.0527
D2,mix,0.1,8,1000,100,0.8125,0.7937,0.8314,0.47,0.4392,0.501,1000,0.0527
D2,mix,0.2,8,1000,100,0.9783,0.9718,0.9848,0.883,0.8616,0.9015,1000,0.0527
D2,anti,,8,1000,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0527
D1,imitate,0.05,8,1000,300,0.6611,0.6412,0.6811,0.159,0.1376,0.183,1000,0.0475
D1,imitate,0.1,8,1000,300,0.9489,0.9393,0.9586,0.758,0.7305,0.7835,1000,0.0475
D1,imitate,0.2,8,1000,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0475
D1,mix,0.05,8,1000,300,0.7719,0.7538,0.7899,0.278,0.2511,0.3066,1000,0.0475
D1,mix,0.1,8,1000,300,0.9571,0.9482,0.966,0.796,0.7699,0.8198,1000,0.0475
D1,mix,0.2,8,1000,300,0.9982,0.9963,1.0,0.991,0.983,0.9953,1000,0.0475
D1,anti,,8,1000,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0475
D2,imitate,0.05,8,1000,300,0.5394,0.5142,0.5646,0.067,0.0531,0.0842,1000,0.0517
D2,imitate,0.1,8,1000,300,0.4993,0.474,0.5246,0.099,0.082,0.1191,1000,0.0517
D2,imitate,0.2,8,1000,300,0.5281,0.5028,0.5534,0.024,0.0162,0.0355,1000,0.0517
D2,mix,0.05,8,1000,300,0.7542,0.733,0.7753,0.163,0.1414,0.1872,1000,0.0517
D2,mix,0.1,8,1000,300,0.924,0.9118,0.9362,0.789,0.7626,0.8132,1000,0.0517
D2,mix,0.2,8,1000,300,1.0,0.9997,1.0,1.0,0.9962,1.0,1000,0.0517
D2,anti,,8,1000,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0517
D1,imitate,0.05,8,1000,1000,0.8495,0.834,0.8651,0.465,0.4343,0.496,1000,0.0403
D1,imitate,0.1,8,1000,1000,0.9999,0.9994,1.0,0.999,0.9944,0.9998,1000,0.0403
D1,imitate,0.2,8,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0403
D1,mix,0.05,8,1000,1000,0.9422,0.9319,0.9524,0.733,0.7047,0.7595,1000,0.0403
D1,mix,0.1,8,1000,1000,0.9996,0.9988,1.0,0.997,0.9912,0.999,1000,0.0403
D1,mix,0.2,8,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0403
D1,anti,,8,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0403
D2,imitate,0.05,8,1000,1000,0.5106,0.4853,0.5359,0.061,0.0478,0.0776,1000,0.0455
D2,imitate,0.1,8,1000,1000,0.4719,0.4466,0.4971,0.108,0.0902,0.1288,1000,0.0455
D2,imitate,0.2,8,1000,1000,0.5445,0.5193,0.5697,0.001,0.0002,0.0056,1000,0.0455
D2,mix,0.05,8,1000,1000,0.8326,0.8147,0.8505,0.06,0.0469,0.0765,1000,0.0455
D2,mix,0.1,8,1000,1000,0.9802,0.9741,0.9864,0.957,0.9426,0.9679,1000,0.0455
D2,mix,0.2,8,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0455
D2,anti,,8,1000,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0455
D1,imitate,0.05,8,1000,3000,0.9858,0.9806,0.991,0.94,0.9235,0.9531,1000,0.051
D1,imitate,0.1,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.051
D1,imitate,0.2,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.051
D1,mix,0.05,8,1000,3000,0.9997,0.999,1.0,0.999,0.9944,0.9998,1000,0.051
D1,mix,0.1,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.051
D1,mix,0.2,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.051
D1,anti,,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.051
D2,imitate,0.05,8,1000,3000,0.5361,0.5108,0.5613,0.091,0.0747,0.1104,1000,0.0512
D2,imitate,0.1,8,1000,3000,0.5112,0.4859,0.5365,0.114,0.0958,0.1352,1000,0.0512
D2,imitate,0.2,8,1000,3000,0.6066,0.582,0.6312,0.0,0.0,0.0038,1000,0.0512
D2,mix,0.05,8,1000,3000,0.8257,0.8075,0.844,0.018,0.0114,0.0283,1000,0.0512
D2,mix,0.1,8,1000,3000,0.9916,0.9876,0.9957,0.997,0.9912,0.999,1000,0.0512
D2,mix,0.2,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D2,anti,,8,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D1,imitate,0.05,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D1,imitate,0.1,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D1,imitate,0.2,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D1,mix,0.05,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D1,mix,0.1,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D1,mix,0.2,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D1,anti,,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0545
D2,imitate,0.05,8,1000,10000,0.54,0.5148,0.5652,0.073,0.0585,0.0908,1000,0.0505
D2,imitate,0.1,8,1000,10000,0.5025,0.4772,0.5278,0.087,0.0711,0.1061,1000,0.0505
D2,imitate,0.2,8,1000,10000,0.6253,0.601,0.6496,0.0,0.0,0.0038,1000,0.0505
D2,mix,0.05,8,1000,10000,0.8051,0.7859,0.8242,0.001,0.0002,0.0056,1000,0.0505
D2,mix,0.1,8,1000,10000,0.9976,0.9954,0.9997,1.0,0.9962,1.0,1000,0.0505
D2,mix,0.2,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0505
D2,anti,,8,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0505
D1,imitate,0.05,8,fit,30,0.5441,0.5238,0.5643,0.069,0.0549,0.0864,1000,0.0565
D1,imitate,0.1,8,fit,30,0.6424,0.6223,0.6624,0.14,0.1199,0.1629,1000,0.0565
D1,imitate,0.2,8,fit,30,0.9808,0.9748,0.9868,0.918,0.8994,0.9334,1000,0.0565
D1,mix,0.05,8,fit,30,0.5985,0.5782,0.6187,0.099,0.082,0.1191,1000,0.0565
D1,mix,0.1,8,fit,30,0.6779,0.6582,0.6977,0.169,0.147,0.1935,1000,0.0565
D1,mix,0.2,8,fit,30,0.8041,0.787,0.8213,0.378,0.3485,0.4085,1000,0.0565
D1,anti,,8,fit,30,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0565
D2,imitate,0.05,8,fit,30,0.4997,0.4744,0.525,0.045,0.0338,0.0597,1000,0.042
D2,imitate,0.1,8,fit,30,0.4936,0.4683,0.5189,0.058,0.0451,0.0742,1000,0.042
D2,imitate,0.2,8,fit,30,0.5049,0.4795,0.5302,0.03,0.0211,0.0425,1000,0.042
D2,mix,0.05,8,fit,30,0.6073,0.5827,0.6319,0.127,0.1078,0.1491,1000,0.042
D2,mix,0.1,8,fit,30,0.696,0.6731,0.7189,0.297,0.2695,0.3261,1000,0.042
D2,mix,0.2,8,fit,30,0.9032,0.8894,0.9169,0.486,0.4551,0.517,1000,0.042
D2,anti,,8,fit,30,0.9938,0.9904,0.9972,0.965,0.9517,0.9747,1000,0.042
D1,imitate,0.05,8,fit,100,0.5716,0.5513,0.5919,0.083,0.0675,0.1017,1000,0.0503
D1,imitate,0.1,8,fit,100,0.7863,0.7687,0.804,0.337,0.3084,0.3669,1000,0.0503
D1,imitate,0.2,8,fit,100,1.0,0.9997,1.0,1.0,0.9962,1.0,1000,0.0503
D1,mix,0.05,8,fit,100,0.6535,0.6335,0.6735,0.117,0.0985,0.1384,1000,0.0503
D1,mix,0.1,8,fit,100,0.8101,0.7931,0.8271,0.378,0.3485,0.4085,1000,0.0503
D1,mix,0.2,8,fit,100,0.9587,0.95,0.9674,0.829,0.8044,0.8511,1000,0.0503
D1,anti,,8,fit,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,imitate,0.05,8,fit,100,0.5054,0.4801,0.5307,0.053,0.0407,0.0687,1000,0.0555
D2,imitate,0.1,8,fit,100,0.5105,0.4852,0.5358,0.084,0.0684,0.1028,1000,0.0555
D2,imitate,0.2,8,fit,100,0.5042,0.4789,0.5296,0.043,0.0321,0.0574,1000,0.0555
D2,mix,0.05,8,fit,100,0.6341,0.6099,0.6583,0.144,0.1236,0.1671,1000,0.0555
D2,mix,0.1,8,fit,100,0.8062,0.787,0.8253,0.494,0.4631,0.525,1000,0.0555
D2,mix,0.2,8,fit,100,0.9797,0.9735,0.986,0.899,0.8788,0.9162,1000,0.0555
D2,anti,,8,fit,100,1.0,0.9999,1.0,1.0,0.9962,1.0,1000,0.0555
D1,imitate,0.05,8,fit,300,0.6428,0.6227,0.6629,0.168,0.1461,0.1924,1000,0.0512
D1,imitate,0.1,8,fit,300,0.9427,0.9325,0.9528,0.768,0.7408,0.7931,1000,0.0512
D1,imitate,0.2,8,fit,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D1,mix,0.05,8,fit,300,0.7799,0.7621,0.7978,0.337,0.3084,0.3669,1000,0.0512
D1,mix,0.1,8,fit,300,0.9487,0.9391,0.9584,0.783,0.7564,0.8074,1000,0.0512
D1,mix,0.2,8,fit,300,0.9991,0.9978,1.0,0.995,0.9883,0.9979,1000,0.0512
D1,anti,,8,fit,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D2,imitate,0.05,8,fit,300,0.5051,0.4798,0.5304,0.062,0.0487,0.0787,1000,0.047
D2,imitate,0.1,8,fit,300,0.5025,0.4772,0.5278,0.103,0.0857,0.1234,1000,0.047
D2,imitate,0.2,8,fit,300,0.5182,0.4929,0.5435,0.025,0.017,0.0366,1000,0.047
D2,mix,0.05,8,fit,300,0.7501,0.7288,0.7714,0.179,0.1565,0.204,1000,0.047
D2,mix,0.1,8,fit,300,0.9272,0.9153,0.9391,0.759,0.7315,0.7845,1000,0.047
D2,mix,0.2,8,fit,300,0.9999,0.9996,1.0,1.0,0.9962,1.0,1000,0.047
D2,anti,,8,fit,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.047
D1,imitate,0.05,8,fit,1000,0.8488,0.8332,0.8644,0.488,0.4571,0.519,1000,0.0435
D1,imitate,0.1,8,fit,1000,0.9998,0.9992,1.0,0.999,0.9944,0.9998,1000,0.0435
D1,imitate,0.2,8,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0435
D1,mix,0.05,8,fit,1000,0.9429,0.9327,0.953,0.754,0.7264,0.7797,1000,0.0435
D1,mix,0.1,8,fit,1000,0.9994,0.9984,1.0,0.995,0.9883,0.9979,1000,0.0435
D1,mix,0.2,8,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0435
D1,anti,,8,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0435
D2,imitate,0.05,8,fit,1000,0.5163,0.491,0.5416,0.088,0.072,0.1072,1000,0.0575
D2,imitate,0.1,8,fit,1000,0.4932,0.4679,0.5185,0.101,0.0838,0.1212,1000,0.0575
D2,imitate,0.2,8,fit,1000,0.5412,0.516,0.5664,0.002,0.0005,0.0073,1000,0.0575
D2,mix,0.05,8,fit,1000,0.8301,0.8121,0.8481,0.111,0.093,0.132,1000,0.0575
D2,mix,0.1,8,fit,1000,0.9775,0.9709,0.9841,0.969,0.9563,0.9781,1000,0.0575
D2,mix,0.2,8,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0575
D2,anti,,8,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0575
D1,imitate,0.05,8,fit,3000,0.9864,0.9813,0.9915,0.948,0.9324,0.9601,1000,0.053
D1,imitate,0.1,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.053
D1,imitate,0.2,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.053
D1,mix,0.05,8,fit,3000,0.9999,0.9994,1.0,1.0,0.9962,1.0,1000,0.053
D1,mix,0.1,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.053
D1,mix,0.2,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.053
D1,anti,,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.053
D2,imitate,0.05,8,fit,3000,0.5287,0.5034,0.5539,0.086,0.0702,0.105,1000,0.0483
D2,imitate,0.1,8,fit,3000,0.489,0.4637,0.5143,0.103,0.0857,0.1234,1000,0.0483
D2,imitate,0.2,8,fit,3000,0.6037,0.5791,0.6284,0.0,0.0,0.0038,1000,0.0483
D2,mix,0.05,8,fit,3000,0.829,0.8109,0.847,0.019,0.0122,0.0295,1000,0.0483
D2,mix,0.1,8,fit,3000,0.9905,0.9863,0.9948,0.991,0.983,0.9953,1000,0.0483
D2,mix,0.2,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0483
D2,anti,,8,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0483
D1,imitate,0.05,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D1,imitate,0.1,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D1,imitate,0.2,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D1,mix,0.05,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D1,mix,0.1,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D1,mix,0.2,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D1,anti,,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.04
D2,imitate,0.05,8,fit,10000,0.5356,0.5104,0.5609,0.075,0.0603,0.093,1000,0.0512
D2,imitate,0.1,8,fit,10000,0.4891,0.4638,0.5144,0.075,0.0603,0.093,1000,0.0512
D2,imitate,0.2,8,fit,10000,0.6433,0.6193,0.6673,0.0,0.0,0.0038,1000,0.0512
D2,mix,0.05,8,fit,10000,0.807,0.7879,0.8261,0.0,0.0,0.0038,1000,0.0512
D2,mix,0.1,8,fit,10000,0.9981,0.9962,1.0,1.0,0.9962,1.0,1000,0.0512
D2,mix,0.2,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D2,anti,,8,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0512
D1,imitate,0.05,2,100,30,0.5343,0.5141,0.5545,0.059,0.046,0.0754,1000,0.0595
D1,imitate,0.1,2,100,30,0.5803,0.56,0.6006,0.093,0.0765,0.1126,1000,0.0595
D1,imitate,0.2,2,100,30,0.7837,0.766,0.8015,0.329,0.3006,0.3587,1000,0.0595
D1,mix,0.05,2,100,30,0.5465,0.5262,0.5668,0.065,0.0513,0.082,1000,0.0595
D1,mix,0.1,2,100,30,0.5862,0.5658,0.6065,0.094,0.0774,0.1137,1000,0.0595
D1,mix,0.2,2,100,30,0.634,0.6139,0.6541,0.099,0.082,0.1191,1000,0.0595
D1,anti,,2,100,30,0.8278,0.8114,0.8442,0.442,0.4115,0.4729,1000,0.0595
D2,imitate,0.05,2,100,30,0.4883,0.463,0.5136,0.053,0.0407,0.0687,1000,0.0508
D2,imitate,0.1,2,100,30,0.4862,0.4609,0.5115,0.053,0.0407,0.0687,1000,0.0508
D2,imitate,0.2,2,100,30,0.6623,0.6386,0.6859,0.01,0.0054,0.0183,1000,0.0508
D2,mix,0.05,2,100,30,0.5103,0.485,0.5356,0.049,0.0373,0.0642,1000,0.0508
D2,mix,0.1,2,100,30,0.5136,0.4883,0.5389,0.048,0.0364,0.0631,1000,0.0508
D2,mix,0.2,2,100,30,0.8464,0.8292,0.8636,0.075,0.0603,0.093,1000,0.0508
D2,anti,,2,100,30,0.679,0.6593,0.6988,0.074,0.0594,0.0919,1000,0.0508
D1,imitate,0.05,2,100,100,0.5137,0.4936,0.5338,0.059,0.046,0.0754,1000,0.0493
D1,imitate,0.1,2,100,100,0.5605,0.5402,0.5808,0.086,0.0702,0.105,1000,0.0493
D1,imitate,0.2,2,100,100,0.9508,0.9413,0.9602,0.805,0.7793,0.8284,1000,0.0493
D1,mix,0.05,2,100,100,0.5285,0.5083,0.5487,0.056,0.0434,0.072,1000,0.0493
D1,mix,0.1,2,100,100,0.5822,0.5619,0.6025,0.076,0.0611,0.0941,1000,0.0493
D1,mix,0.2,2,100,100,0.6323,0.6121,0.6524,0.117,0.0985,0.1384,1000,0.0493
D1,anti,,2,100,100,0.8941,0.8807,0.9075,0.71,0.6811,0.7373,1000,0.0493
D2,imitate,0.05,2,100,100,0.4984,0.4731,0.5237,0.057,0.0443,0.0731,1000,0.0537
D2,imitate,0.1,2,100,100,0.4905,0.4652,0.5158,0.115,0.0967,0.1363,1000,0.0537
D2,imitate,0.2,2,100,100,0.7324,0.7106,0.7543,0.015,0.0091,0.0246,1000,0.0537
