episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
10000,23304,7.5,0.662101,0.33105,0.536176,0.506233,0.981037,1.146276
20000,45382,17.8,0.54339,0.271695,0.391495,0.30748,0.931934,1.003999
30000,68041,28.8,0.480052,0.240026,0.340036,0.307431,0.987762,0.992385
40000,91359,39.0,0.441039,0.220519,0.377841,0.355022,0.846904,1.167887
50000,115219,51.1,0.430585,0.215292,0.442585,0.175712,0.948211,0.755113
60000,139372,62.9,0.405627,0.202813,0.426852,0.314597,0.919992,0.80421
70000,163680,74.5,0.391459,0.195729,0.39931,0.280911,0.824036,0.627482
80000,188147,86.3,0.369077,0.184539,0.342672,0.281932,0.755436,0.479631
90000,212734,97.9,0.346502,0.173251,0.370312,0.250217,0.632191,0.560256
100000,237297,109.7,0.325513,0.162757,0.372396,0.210747,0.88766,0.600589
110000,262021,122.5,0.30334,0.15167,0.430217,0.26693,0.831712,0.533322
120000,286874,135.2,0.294132,0.147066,0.421398,0.276394,0.869639,0.320816
130000,311782,150.3,0.285019,0.142509,0.384761,0.285461,0.631118,0.714315
140000,336750,163.6,0.291945,0.145972,0.437704,0.319763,0.57747,0.299719
150000,361671,176.5,0.293619,0.146809,0.365196,0.346061,0.574008,0.494614
160000,386682,188.8,0.29588,0.14794,0.511819,0.33094,0.886158,0.705628
170000,411856,201.5,0.297614,0.148807,0.349613,0.266581,0.542752,0.470144
180000,437154,214.1,0.298825,0.149413,0.40163,0.233436,0.640367,0.514899
190000,462580,226.6,0.308876,0.154438,0.427642,0.201624,0.576549,0.715676
200000,487895,239.2,0.310248,0.155124,0.39752,0.227752,0.448447,0.552842
210000,513373,251.7,0.299796,0.149898,0.387632,0.305707,0.736748,0.632213
220000,538884,264.9,0.313184,0.156592,0.394334,0.253659,0.585507,0.623816
230000,564303,277.6,0.300989,0.150494,0.499093,0.255464,0.813874,0.557736
240000,589599,289.7,0.301523,0.150761,0.430222,0.161205,0.647663,0.325193
250000,614799,302.0,0.30925,0.154625,0.478583,0.382678,0.742426,0.516993
260000,639842,314.1,0.311995,0.155997,0.448759,0.343848,0.548433,0.572524
270000,664824,327.5,0.304943,0.152472,0.476424,0.306019,0.407481,0.501894
280000,689743,343.9,0.286804,0.143402,0.469413,0.298431,0.36843,0.374203
290000,714614,362.1,0.282922,0.141461,0.396851,0.400922,0.466834,0.624719
300000,739276,381.2,0.274438,0.137219,0.4208,0.291407,0.345433,0.366226
310000,763876,394.4,0.270487,0.135244,0.321766,0.439283,0.33121,0.755011
320000,788424,406.9,0.264024,0.132012,0.47519,0.354778,0.791116,0.836899
330000,812780,418.7,0.258556,0.129278,0.369548,0.336725,0.401268,0.879269
340000,837014,430.2,0.250758,0.125379,0.49962,0.327656,0.334039,0.714386
350000,861169,442.0,0.248901,0.12445,0.500305,0.391231,0.348807,0.796785
360000,885278,455.7,0.251179,0.125589,0.42622,0.371081,0.365362,0.544599
370000,909250,468.1,0.254647,0.127324,0.504271,0.293612,0.411947,0.911517
380000,933251,481.0,0.268002,0.134001,0.554125,0.334003,0.380685,0.835301
390000,957106,494.5,0.273411,0.136706,0.525868,0.34234,0.410493,0.593422
400000,980907,508.4,0.281736,0.140868,0.456674,0.340697,0.369847,0.594064
410000,1004585,522.2,0.29223,0.146115,0.527805,0.249302,0.46627,0.69684
420000,1028274,536.7,0.299236,0.149618,0.489718,0.299443,0.362349,0.616446
430000,1051833,551.6,0.29979,0.149895,0.480906,0.295686,0.408521,0.59622
440000,1075383,565.8,0.312792,0.156396,0.479021,0.282936,0.33354,0.66833
450000,1098882,580.0,0.31725,0.158625,0.452469,0.291663,0.461106,0.711972
460000,1122396,599.2,0.319965,0.159982,0.461757,0.286456,0.484858,0.641031
470000,1145841,614.1,0.315417,0.157708,0.509727,0.268481,0.536063,0.560851
480000,1169172,627.9,0.320534,0.160267,0.533987,0.325083,0.53383,0.687695
490000,1192529,642.1,0.304524,0.152262,0.456852,0.351648,0.872854,0.470269
500000,1215752,655.9,0.300508,0.150254,0.488817,0.369039,0.491073,0.566112
510000,1238964,669.7,0.303287,0.151643,0.464819,0.377992,0.570863,0.453426
520000,1262171,682.1,0.297586,0.148793,0.463252,0.303532,0.492629,0.739614
530000,1285372,694.8,0.294664,0.147332,0.583361,0.276828,0.50884,0.655549
540000,1308550,707.5,0.286218,0.143109,0.473204,0.309975,0.528042,0.618359
550000,1331635,720.2,0.294165,0.147083,0.417791,0.392458,0.707987,0.587406
560000,1354779,734.4,0.29435,0.147175,0.385409,0.300352,0.680424,0.390111
570000,1377938,746.4,0.298905,0.149452,0.443851,0.356561,0.56346,0.563868
580000,1401129,758.2,0.300869,0.150434,0.542681,0.402068,0.480544,0.549405
590000,1424210,769.7,0.312856,0.156428,0.487728,0.41479,0.580379,0.554596
600000,1447301,781.0,0.307433,0.153717,0.465771,0.3442,0.625225,0.48124
610000,1470394,792.5,0.307259,0.15363,0.507125,0.312515,0.469177,0.726235
620000,1493459,803.8,0.312104,0.156052,0.489332,0.354254,0.792864,0.475426
630000,1516591,814.9,0.309086,0.154543,0.476181,0.314843,0.583179,0.466643
640000,1539673,825.6,0.311624,0.155812,0.503463,0.33361,0.625318,0.381879
650000,1562887,836.5,0.309207,0.154603,0.475482,0.390073,0.51725,0.678945
660000,1586105,847.1,0.305793,0.152897,0.479117,0.34052,0.513792,0.500799
670000,1609329,857.6,0.314851,0.157426,0.500019,0.301789,0.571381,0.611455
680000,1632558,868.6,0.30579,0.152895,0.475121,0.339602,0.650908,0.568088
690000,1656064,880.0,0.307695,0.153848,0.482578,0.286306,0.63286,0.683412
700000,1679475,890.9,0.304807,0.152404,0.462248,0.39653,0.603938,0.677476
710000,1703002,901.2,0.302791,0.151396,0.559805,0.399956,0.647571,0.575576
720000,1726486,912.2,0.301722,0.150861,0.474289,0.34908,0.747004,0.57697
730000,1750065,922.9,0.29639,0.148195,0.46647,0.297309,0.649911,0.520102
740000,1773588,934.2,0.292513,0.146256,0.554543,0.421481,0.535234,0.636309
750000,1797188,945.9,0.292844,0.146422,0.385836,0.365024,0.526191,0.856144
760000,1820903,957.9,0.292005,0.146002,0.429683,0.355952,0.600396,0.767257
770000,1844595,970.2,0.283854,0.141927,0.49518,0.418019,0.581038,0.512843
780000,1868265,983.9,0.279321,0.139661,0.490775,0.344762,0.527229,0.802058
790000,1891947,997.4,0.276072,0.138036,0.460399,0.404921,0.512419,0.64289
800000,1915587,1011.7,0.275562,0.137781,0.509214,0.361149,0.436362,0.837912
810000,1939295,1024.3,0.274736,0.137368,0.540573,0.350676,0.456617,0.791447
820000,1963029,1037.9,0.265244,0.132622,0.429145,0.400897,0.391475,0.775012
830000,1986802,1051.1,0.261792,0.130896,0.480499,0.426861,0.492157,0.756592
840000,2010576,1064.3,0.267461,0.13373,0.515059,0.451631,0.608823,0.596759
850000,2034413,1078.3,0.258373,0.129187,0.444621,0.435783,0.523251,0.746369
860000,2058246,1093.7,0.255707,0.127853,0.536987,0.472274,0.53811,0.808538
870000,2082146,1107.3,0.253032,0.126516,0.477661,0.378041,0.744897,0.803741
880000,2105976,1120.6,0.24825,0.124125,0.467233,0.360996,0.414095,0.653221
890000,2129812,1134.3,0.248595,0.124297,0.537918,0.402784,0.458249,0.687876
900000,2153765,1148.5,0.244466,0.122233,0.440892,0.471411,0.552724,0.870872
910000,2177635,1161.7,0.242216,0.121108,0.472179,0.421694,0.458772,0.669018
920000,2201625,1175.0,0.235557,0.117778,0.492674,0.44543,0.486458,0.733033
930000,2225609,1187.7,0.231889,0.115944,0.449286,0.387442,0.624468,0.698758
940000,2249619,1200.1,0.225742,0.112871,0.400408,0.437336,0.622196,1.076608
950000,2273615,1213.8,0.224957,0.112479,0.475399,0.398542,0.497619,0.809546
960000,2297523,1226.6,0.230194,0.115097,0.420239,0.37947,0.469295,0.564506
970000,2321546,1238.7,0.22774,0.11387,0.53182,0.394966,0.330289,0.687585
980000,2345554,1252.6,0.229227,0.114613,0.43567,0.428695,0.427819,0.739087
990000,2369546,1264.4,0.221108,0.110554,0.484825,0.367623,0.435325,0.975912
1000000,2393549,1278.4,0.222335,0.111168,0.550018,0.368276,0.371308,0.704602
1010000,2417551,1290.9,0.21735,0.108675,0.464734,0.400946,0.438342,0.79113
1020000,2441694,1304.0,0.219833,0.109916,0.485586,0.378276,0.48027,0.817824
