episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
780000,1928811,1006.6,0.195477,0.097738,0.400726,0.334751,0.559604,0.795126
790000,1954002,1020.0,0.185129,0.092564,0.46106,0.392233,0.510751,0.600136
800000,1979163,1034.2,0.192003,0.096002,0.410252,0.410882,0.414455,0.957938
810000,2004241,1048.3,0.18356,0.09178,0.396244,0.379724,0.425935,0.930773
820000,2029303,1061.6,0.174902,0.087451,0.366122,0.445125,0.483181,0.636114
830000,2054483,1076.3,0.181152,0.090576,0.401545,0.430602,0.439557,0.895458
840000,2079521,1092.4,0.169393,0.084696,0.346853,0.403566,0.49572,0.69086
850000,2104556,1106.4,0.172998,0.086499,0.428003,0.416172,0.517512,0.849114
860000,2129390,1120.5,0.172129,0.086065,0.374506,0.366315,0.58967,0.76198
870000,2154381,1135.2,0.165752,0.082876,0.392872,0.427817,0.559753,0.756104
880000,2179259,1150.1,0.165342,0.082671,0.360685,0.391569,0.530661,0.704807
890000,2204127,1163.8,0.160807,0.080404,0.474189,0.374719,0.476389,0.872334
900000,2229060,1177.2,0.161276,0.080638,0.289652,0.421176,0.509243,0.857436
910000,2253860,1190.0,0.159834,0.079917,0.331885,0.422523,0.557426,0.999098
920000,2278722,1203.0,0.152531,0.076265,0.438887,0.391912,0.51164,0.639409
930000,2303414,1216.7,0.150102,0.075051,0.366485,0.395548,0.474954,0.696823
940000,2328235,1229.8,0.142945,0.071472,0.450485,0.356067,0.728903,0.912358
950000,2353056,1243.5,0.150565,0.075282,0.329056,0.394098,0.573532,0.689422
960000,2377698,1256.7,0.13919,0.069595,0.434146,0.436824,0.494112,0.643595
970000,2402387,1269.9,0.139555,0.069778,0.368389,0.426455,0.736393,0.602781
980000,2427106,1283.8,0.139729,0.069864,0.453979,0.430529,0.673295,0.583121
990000,2451756,1297.6,0.145875,0.072937,0.452489,0.461871,0.588999,0.726727
1000000,2476335,1310.4,0.139896,0.069948,0.367156,0.450216,0.601204,0.55869
1010000,2500841,1322.4,0.134339,0.067169,0.307941,0.385384,0.642048,0.662022
1020000,2525508,1335.0,0.13528,0.06764,0.385094,0.405626,0.774142,0.725582
1030000,2550013,1348.8,0.135707,0.067854,0.331747,0.383598,0.825102,0.643516
1040000,2574535,1362.0,0.137723,0.068861,0.387986,0.45166,0.557512,0.613823
1050000,2599074,1376.5,0.132146,0.066073,0.399009,0.456478,0.595758,0.583369
1060000,2623667,1388.8,0.134646,0.067323,0.361827,0.395886,0.556909,0.55989
1070000,2648246,1401.9,0.131141,0.06557,0.402669,0.375103,0.390219,0.776562
1080000,2672874,1415.2,0.127136,0.063568,0.402544,0.359164,0.421814,0.792694
1090000,2697383,1428.1,0.132491,0.066245,0.362283,0.409804,0.86808,0.543956
1100000,2721803,1441.3,0.13077,0.065385,0.40034,0.491942,0.575832,0.652372
1110000,2746225,1456.4,0.128335,0.064168,0.32538,0.386362,0.543484,0.671604
1120000,2770791,1472.3,0.129953,0.064976,0.365009,0.396908,0.505166,0.761262
1130000,2795297,1486.2,0.121553,0.060776,0.333436,0.419701,0.615402,0.589574
1140000,2819678,1500.0,0.126969,0.063484,0.361747,0.348188,0.629142,0.594374
1150000,2844090,1514.4,0.121432,0.060716,0.389312,0.342264,0.440308,0.436294
1160000,2868439,1529.0,0.115079,0.057539,0.394702,0.401021,0.547196,0.582731
1170000,2892781,1542.2,0.12234,0.06117,0.361512,0.431802,0.721352,0.5495
